297,MDU6SXNzdWUzMjIzNTExNTA=,21,Logo Proposal
1613,MDU6SXNzdWU1MzM1Mzk3MDY=,19,We are lacking some algorithms from simulations
309,MDU6SXNzdWUzMjg3MTI1NTk=,18,Adopt a more robust testing system
1085,MDU6SXNzdWU0NzM3Mjg2OTY=,17,Need more pytests
3,MDU6SXNzdWUxNjgyMDM1ODA=,16,Non-pythonic code
729,MDU6SXNzdWU0MTY4NTU2NjQ=,15,New comer
690,MDU6SXNzdWU0MDc2MjUxMDA=,15,Looking for Maintainers 
374,MDU6SXNzdWUzNjU2MjU5NDY=,13,Improve Readme
1460,MDU6SXNzdWU1MTI2MDMzNjc=,12,DIRECTORY.md not being updated by TravisCI
1155,MDU6SXNzdWU0ODU4NTA2NTQ=,12,Unresponsive PRs and issues
328,MDU6SXNzdWUzNDMzNjUxMTQ=,12,/sorts/merge_sort_fastest.py is NOT fast at all
614,MDU6SXNzdWUzODM3MjAxNTQ=,11,How about categorizing sorting algorithms?
340,MDU6SXNzdWUzNTk3MzI1MTg=,11,Merge sort best & average case O(n)?
1747,MDU6SXNzdWU1NjI4NTc0ODE=,10,Who gets the money that is donated to TheAlgorithms?
958,MDU6SXNzdWU0NjQ1NzUyMDc=,10,about average_median.py 
1340,MDU6SXNzdWU1MDUzODIxODk=,9,Need to update README.md of project_euler
1113,MDU6SXNzdWU0Nzc5NTQwMDQ=,9,file_transfer_protocol doesn't actually implement FTP
1831,MDU6SXNzdWU1OTU0NDY0MDk=,8,Any thoughts on adding Quantum Algorithms? 
76,MDU6SXNzdWUyMjE5MTU5NDQ=,8,Code runs in infinite loop to accept Tree elements
1180,MDU6SXNzdWU0OTM1OTMyNjI=,7,Adding Matrix Exponentiation
860,MDU6SXNzdWU0NTEwNTg3MzU=,7,There should be a directory.
840,MDU6SXNzdWU0NDg1NjAxNTQ=,7,New Algorithms required in Machine Learning
11,MDU6SXNzdWUxNjg4ODk3NzU=,7,Sync with Travis-CI
1994,MDU6SXNzdWU2MTk4MTE2MTc=,6,Some graphs ideas
1794,MDU6SXNzdWU1Nzk3OTA2NzM=,6,Tests for string module
1375,MDU6SXNzdWU1MDc2OTA1NjA=,6,gaussian function in maths/gaussian.py seems wrong
1317,MDU6SXNzdWU1MDQyNDg4ODA=,6,add python program that surfs the web.
1049,MDU6SXNzdWU0NzA0OTIwNjU=,6,Duplicate method (Newtonâ€“Raphson method)
1027,MDU6SXNzdWU0Njg0MDQ2MDY=,6,base64_cipher.py does not yet support Unicode
1024,MDU6SXNzdWU0NjgwMDQzMDg=,6,Fix the LGTM issues
992,MDU6SXNzdWU0NjYxMTgyMTY=,6,Rabin-Karp algorithm perfomance
945,MDU6SXNzdWU0NjM3MDQwNTQ=,6,Backtracking Algorithms
829,MDU6SXNzdWU0NDc1MzE0NDU=,6,"Command ""python setup.py egg_info"" failed with error code 1"
626,MDU6SXNzdWUzODcyNTI5ODc=,6,Reading XML file Using Python
605,MDU6SXNzdWUzNzk3NTMwNjI=,6,The InOrderTraversal in data_structures/binary_search_tree might be wrong
119,MDU6SXNzdWUyNjEzMjAxMzU=,6,2 Graph folders
93,MDU6SXNzdWUyMzk4MDQwNjY=,6,"I like to work in AVL, PArtially ordered tree and A* is it anyone doing this actually?"
1901,MDU6SXNzdWU2MDUyMzc3OTU=,5,Need a GitHub Action to autoclose empty issues
1846,MDU6SXNzdWU1OTc2ODE2ODk=,5,pyd nested call error
1689,MDU6SXNzdWU1NTA1NTE4NTk=,5,Merge sort implementation
1623,MDU6SXNzdWU1MzU2OTYwNjU=,5,Stuck in a get value issue
1607,MDU6SXNzdWU1MzEyMTk3MjE=,5,Adding tests directory into machine learning(using pytest)
1604,MDU6SXNzdWU1MzAxNjc0OTg=,5,Implementing async functionality from scratch
1357,MDU6SXNzdWU1MDYzNjE4MTE=,5,Is Recursion Example included in Bactracking and Dynamic Programming?
1171,MDU6SXNzdWU0ODk3NTk4NDg=,5,build_directory_md.py is not working correctly
817,MDU6SXNzdWU0NDQ2NDAzNjk=,5,Divide and Conquer
813,MDU6SXNzdWU0NDQ2MjczOTA=,5,LCA (least common ancestor)
721,MDU6SXNzdWU0MTQ2Mzc1NDc=,5,Python/arithmetic_analysis/newton_raphson_method.py 
712,MDU6SXNzdWU0MTMwNjUxMTI=,5,Evolutionary Algorithms
697,MDU6SXNzdWU0MDg4ODAyMjY=,5,Algo for str
